ID,Player,Nation,Club,Position,In_17_18,Age,Appearances,Starts,Subs,MinsPlayed,Minutes/Appearance,Goals,Assists,PenaltiesTaken,PenaltiesAttempted,Fouls,YellowCards,RedCards,ShotsOnTarget,Goals/90,GoalsAndAssists/90,GoalsMinusPenalties/90,GoalsAndAssistsMinusPenaltiesPer90,ShotsOnTarget/90,Fouls/90,Cards/90
416,Jordy Clasie,nl NED,Southampton,MF,N,25,16,12,4,1021,64,1,1,0,0,15,3,0,3,0.09,0.18,0.09,0.18,0.26,1.32,0.26
417,Charlie Austin,eng ENG,Southampton,FW,Y,27,15,11,4,934,62,6,1,2,2,14,1,0,17,0.58,0.67,0.39,0.48,1.64,1.35,0.1
418,Shane Long,ie IRL,Southampton,FW,Y,29,32,10,22,1321,41,3,2,0,1,27,2,0,15,0.2,0.34,0.2,0.34,1.02,1.84,0.14
419,Manolo Gabbiadini,it ITA,Southampton,FW,Y,24,11,10,1,724,66,4,0,0,1,9,1,0,11,0.5,0.5,0.5,0.5,1.37,1.12,0.12
420,Jay Rodriguez,eng ENG,Southampton,FW,N,27,24,9,15,892,37,5,2,0,0,15,0,0,16,0.5,0.71,0.5,0.71,1.61,1.51,0
421,Cuco Martina,cw CUW,Southampton,DF,N,26,9,6,3,592,66,0,0,0,0,4,0,0,0,0,0,0,0,0,0.61,0
422,Sam McQueen,eng ENG,Southampton,MF,Y,21,13,5,8,616,47,0,0,0,0,3,0,0,0,0,0,0,0,0,0.44,0
423,Matt Targett,eng ENG,Southampton,DF,F,20,5,5,0,373,75,0,0,0,0,2,0,0,0,0,0,0,0,0,0.48,0
424,Josh Sims,eng ENG,Southampton,MF,Y,19,7,1,6,211,30,0,1,0,0,2,0,0,3,0,0.43,0,0.43,1.28,0.85,0
425,Jeremy Pied,fr FRA,Southampton,MF,Y,27,4,1,3,129,32,0,0,0,0,1,0,0,0,0,0,0,0,0,0.7,0
426,Martin Caceres,uy URU,Southampton,DF,N,29,1,1,0,90,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
427,Harrison Reed,eng ENG,Southampton,MF,N,21,3,1,2,64,21,0,0,0,0,1,0,0,0,0,0,0,0,0,1.41,0
428,Guido Carrillo,"ar ARG,it ITA",Southampton,FW,S,25,19,5,14,598,32,7,1,0,0,12,0,0,9,1.05,1.2,1.05,1.2,1.35,1.81,0
429,Wesley Hoedt,nl NED,Southampton,DF,Y,22,23,21,2,1882,82,2,0,0,0,33,5,0,5,0.1,0.1,0.1,0.1,0.24,1.58,0.24
430,Mario Lemina,ga GAB,Southampton,MF,Y,22,19,8,11,906,48,1,1,0,0,15,1,0,7,0.1,0.2,0.1,0.2,0.7,1.49,0.1
431,Christian Eriksen,dk DEN,Tottenham Hotspur,MF,Y,24,36,36,0,3157,88,8,15,0,0,20,0,0,45,0.23,0.66,0.23,0.66,1.28,0.57,0
432,Dele Alli,eng ENG,Tottenham Hotspur,MF,Y,20,37,35,2,3034,82,18,7,1,1,50,4,0,45,0.53,0.74,0.5,0.71,1.33,1.48,0.12
433,Victor Wanyama,ke KEN,Tottenham Hotspur,MF,Y,25,36,35,1,3012,84,4,1,0,0,64,10,0,13,0.12,0.15,0.12,0.15,0.39,1.91,0.3
434,Eric Dier,eng ENG,Tottenham Hotspur,MF,Y,22,36,34,2,3043,85,2,1,0,0,25,6,0,7,0.06,0.09,0.06,0.09,0.21,0.74,0.18
435,Jan Vertonghen,be BEL,Tottenham Hotspur,DF,Y,29,33,33,0,2894,88,0,0,0,0,21,5,0,4,0,0,0,0,0.12,0.65,0.16
436,Kyle Walker,eng ENG,Tottenham Hotspur,DF,N,26,33,31,2,2701,82,0,5,0,0,36,8,0,5,0,0.17,0,0.17,0.17,1.2,0.27
437,Toby Alderweireld,be BEL,Tottenham Hotspur,DF,Y,27,30,30,0,2601,87,1,0,0,0,9,1,0,9,0.03,0.03,0.03,0.03,0.31,0.31,0.03
438,Harry Kane,eng ENG,Tottenham Hotspur,FW,Y,23,30,29,1,2521,84,29,5,5,6,23,3,0,58,1.04,1.21,0.86,1.04,2.07,0.82,0.11
439,Mousa Dembele,be BEL,Tottenham Hotspur,MF,Y,29,30,24,6,2056,69,1,1,0,0,43,5,0,3,0.04,0.09,0.04,0.09,0.13,1.88,0.22
440,Son Heung-min,kr KOR,Tottenham Hotspur,MF,Y,24,34,23,11,2062,61,14,6,0,0,10,2,0,33,0.61,0.87,0.61,0.87,1.44,0.44,0.09
441,Ben Davies,wal WAL,Tottenham Hotspur,DF,Y,23,23,18,5,1739,76,1,3,0,0,13,1,0,4,0.05,0.21,0.05,0.21,0.21,0.67,0.05
442,Danny Rose,eng ENG,Tottenham Hotspur,DF,Y,26,18,18,0,1530,85,2,2,0,0,29,8,0,5,0.12,0.24,0.12,0.24,0.29,1.71,0.47
443,Moussa Sissoko,fr FRA,Tottenham Hotspur,MF,Y,26,25,8,17,911,36,0,2,0,0,21,3,0,3,0,0.2,0,0.2,0.3,2.07,0.3
444,Vincent Janssen,nl NED,Tottenham Hotspur,FW,N,22,27,7,20,845,31,2,2,1,1,31,0,0,14,0.21,0.43,0.11,0.32,1.49,3.3,0
445,Erik Lamela,ar ARG,Tottenham Hotspur,MF,Y,24,9,6,3,594,66,1,3,0,1,13,1,0,6,0.15,0.61,0.15,0.61,0.91,1.97,0.15
446,Kieran Trippier,eng ENG,Tottenham Hotspur,DF,Y,25,12,6,6,568,47,0,5,0,0,8,1,0,0,0,0.79,0,0.79,0,1.27,0.16
447,Kevin Wimmer,at AUT,Tottenham Hotspur,DF,N,23,5,4,1,357,71,0,0,0,0,4,3,0,0,0,0,0,0,0,1.01,0.76
448,Harry Winks,eng ENG,Tottenham Hotspur,MF,Y,20,21,3,18,493,24,1,1,0,0,10,1,0,2,0.18,0.37,0.18,0.37,0.37,1.83,0.18
449,Georges-Kevin N'Koudou,fr FRA,Tottenham Hotspur,MF,F,21,8,0,8,54,7,0,0,0,0,1,0,0,1,0,0,0,0,1.67,1.67,0
450,Josh Onomah,eng ENG,Tottenham Hotspur,"MF,FW",N,19,5,0,5,22,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
451,Filip Lesniak,sk SVK,Tottenham Hotspur,MF,Y,20,1,0,1,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
452,Davinson Sanchez,co COL,Tottenham Hotspur,DF,Y,20,32,32,0,2760,86,6,2,0,0,32,2,0,12,0.2,0.26,0.2,0.26,0.39,1.04,0.07
453,Serge Aurier,ci CIV,Tottenham Hotspur,DF,Y,23,22,21,1,1829,83,0,3,0,0,19,4,1,5,0,0.15,0,0.15,0.25,0.93,0.25
454,Lucas Moura,br BRA,Tottenham Hotspur,MF,S,23,37,29,8,2421,65,12,6,1,1,32,0,0,30,0.45,0.67,0.41,0.63,1.12,1.19,0
455,Fernando Llorente,es ESP,Tottenham Hotspur,FW,Y,31,33,28,5,2442,74,15,1,0,0,51,2,0,26,0.55,0.59,0.55,0.59,0.96,1.88,0.07
456,Tom Carroll,eng ENG,Tottenham Hotspur,MF,N,24,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
457,Erik Pieters,nl NED,Stoke City,DF,Y,27,36,35,1,3151,88,0,1,0,0,58,5,0,0,0,0.03,0,0.03,0,1.66,0.14
458,Ryan Shawcross,eng ENG,Stoke City,DF,Y,28,35,35,0,3150,90,1,1,0,0,34,6,0,6,0.03,0.06,0.03,0.06,0.17,0.97,0.17
459,Bruno Martins Indi,nl NED,Stoke City,DF,Y,24,35,35,0,3146,90,1,0,0,0,25,4,0,7,0.03,0.03,0.03,0.03,0.2,0.72,0.11
460,Joe Allen,wal WAL,Stoke City,MF,Y,26,36,34,2,2930,81,6,2,0,0,29,9,0,17,0.18,0.25,0.18,0.25,0.52,0.89,0.28
461,Marko Arnautovic,at AUT,Stoke City,"FW,MF",N,27,32,32,0,2714,85,6,5,0,1,40,9,1,19,0.2,0.36,0.2,0.36,0.63,1.33,0.33
462,Glenn Whelan,ie IRL,Stoke City,MF,N,32,30,26,4,2275,76,0,1,0,0,18,5,0,2,0,0.04,0,0.04,0.08,0.71,0.2
463,Glen Johnson,eng ENG,Stoke City,DF,Y,31,23,21,2,1957,85,0,0,0,0,12,1,0,3,0,0,0,0,0.14,0.55,0.05
464,Xherdan Shaqiri,ch SUI,Stoke City,MF,Y,24,21,21,0,1698,81,4,2,0,0,16,2,0,10,0.21,0.32,0.21,0.32,0.53,0.85,0.11
465,Geoff Cameron,us USA,Stoke City,DF,Y,31,19,18,1,1629,86,0,2,0,0,17,1,0,5,0,0.11,0,0.11,0.28,0.94,0.06
466,Charlie Adam,sco SCO,Stoke City,MF,Y,30,24,17,7,1517,63,1,3,1,1,41,7,0,11,0.06,0.24,0,0.18,0.65,2.43,0.42
467,Mame Biram Diouf,sn SEN,Stoke City,FW,Y,28,27,15,12,1385,51,1,2,0,0,28,3,0,4,0.06,0.19,0.06,0.19,0.26,1.82,0.19
468,Phil Bardsley,sco SCO,Stoke City,DF,N,31,15,14,1,1168,78,0,0,0,0,25,5,1,2,0,0,0,0,0.15,1.93,0.46
469,Peter Crouch,eng ENG,Stoke City,FW,Y,35,27,13,14,1343,50,7,2,0,0,26,3,0,16,0.47,0.6,0.47,0.6,1.07,1.74,0.2
470,Jonathan Walters,ie IRL,Stoke City,"MF,FW",N,32,23,13,10,1304,57,4,2,1,1,13,1,0,12,0.28,0.41,0.21,0.35,0.83,0.9,0.07
471,Giannelli Imbula,fr FRA,Stoke City,MF,F,23,12,9,3,796,66,0,0,0,0,3,1,0,0,0,0,0,0,0,0.34,0.11
472,Wilfried Bony,ci CIV,Stoke City,FW,N,27,10,9,1,684,68,2,0,0,0,11,1,0,5,0.26,0.26,0.26,0.26,0.66,1.45,0.13
473,Ramadan Sobhi,eg EGY,Stoke City,MF,Y,19,17,8,9,854,50,0,1,0,0,10,2,0,1,0,0.11,0,0.11,0.11,1.05,0.21
474,Saido Berahino,eng ENG,Stoke City,FW,Y,22,13,8,5,720,55,0,0,0,0,11,0,0,7,0,0,0,0,0.87,1.37,0
475,Marc Muniesa,es ESP,Stoke City,"MF,DF",N,24,10,7,3,650,65,1,0,0,0,9,2,0,3,0.14,0.14,0.14,0.14,0.42,1.25,0.28
476,Bojan Krkic,es ESP,Stoke City,MF,F,25,9,5,4,475,53,3,0,2,3,4,1,0,4,0.57,0.57,0.19,0.19,0.76,0.76,0.19
477,Ibrahim Afellay,nl NED,Stoke City,MF,Y,30,12,3,9,384,32,0,0,0,0,3,0,0,1,0,0,0,0,0.23,0.7,0
478,Philipp Wollscheid,de GER,Stoke City,DF,Y,27,2,2,0,180,90,0,0,0,0,1,1,0,0,0,0,0,0,0,0.5,0.5
479,Julien Ngoy,be BEL,Stoke City,FW,Y,18,5,0,5,49,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
480,Darren Fletcher,sco SCO,Stoke City,MF,N,32,38,37,1,3231,85,2,3,0,0,22,0,0,7,0.06,0.14,0.06,0.14,0.19,0.61,0
481,Kurt Zouma,fr FRA,Stoke City,DF,Y,21,9,3,6,250,28,0,0,0,0,2,0,0,0,0,0,0,0,0,0.72,0
482,Darren Fletcher,sco SCO,Stoke City,MF,N,32,38,37,1,3231,85,2,3,0,0,22,0,0,7,0.06,0.14,0.06,0.14,,,
483,Kevin Wimmer,at AUT,Stoke City,DF,Y,23,5,4,1,357,71,0,0,0,0,4,3,0,0,0,0,0,0,0,1.01,0.76
484,Josh Tymon,eng ENG,Stoke City,DF,F,17,5,4,1,322,64,0,0,0,0,4,1,0,0,0,0,0,0,0,1.12,0.28
485,Jese,es ESP,Stoke City,FW,Y,23,9,1,8,268,30,1,0,1,1,3,0,0,2,0.34,0.34,0,0,0.67,1.01,0
486,Eric Maxim Choupo-Moting,cm CMR,Stoke City,FW,Y,27,23,19,4,1686,73,3,4,1,2,23,1,0,17,0.16,0.37,0.11,0.32,0.91,1.23,0.05
487,Badou Ndiaye,sn SEN,Stoke City,MF,S,25,26,26,0,2320,89,6,2,2,3,52,7,0,31,0.23,0.31,0.16,0.23,1.2,2.02,0.27
488,Moritz Bauer,ch SUI,Stoke City,DF,S,24,21,19,2,1625,77,0,3,0,0,18,4,0,1,0,0.17,0,0.17,0.06,1,0.22
489,Gylfi Sigurgdsson,is ISL,Swansea City,MF,N,26,38,37,1,3327,88,9,13,3,3,19,2,0,50,0.24,0.6,0.16,0.51,1.35,0.51,0.05
490,Kyle Naughton,eng ENG,Swansea City,DF,Y,27,31,31,0,2714,88,1,0,0,0,25,5,0,5,0.03,0.03,0.03,0.03,0.17,0.83,0.17
491,Fernando Llorente,es ESP,Swansea City,FW,N,31,33,28,5,2442,74,15,1,0,0,51,2,0,26,0.55,0.59,0.55,0.59,0.96,1.88,0.07
492,Alfie Mawson,eng ENG,Swansea City,DF,Y,22,27,27,0,2430,90,4,0,0,0,10,1,0,4,0.15,0.15,0.15,0.15,0.15,0.37,0.04
493,Federico Fernandez,ar ARG,Swansea City,DF,Y,27,27,27,0,2430,90,0,2,0,0,26,7,0,2,0,0.07,0,0.07,0.07,0.96,0.26
494,Leroy Fer,nl NED,Swansea City,MF,Y,26,34,27,7,2404,71,6,2,0,0,48,9,0,11,0.22,0.3,0.22,0.3,0.41,1.8,0.34
495,Jack Cork,eng ENG,Swansea City,MF,N,27,30,25,5,2232,74,0,0,0,0,24,7,0,5,0,0,0,0,0.2,0.97,0.28
496,Wayne Routledge,eng ENG,Swansea City,MF,Y,31,27,24,3,1922,71,3,1,0,0,28,1,0,9,0.14,0.19,0.14,0.19,0.42,1.31,0.05
497,Tom Carroll,eng ENG,Swansea City,MF,Y,24,17,16,1,1387,82,1,2,0,0,13,1,0,3,0.06,0.19,0.06,0.19,0.19,0.84,0.06
498,Leon Britton,eng ENG,Swansea City,MF,Y,33,16,16,0,1163,73,0,0,0,0,6,3,0,0,0,0,0,0,0,0.46,0.23
499,Jordi Amat,es ESP,Swansea City,DF,Y,24,17,15,2,1409,83,0,0,0,0,26,5,0,3,0,0,0,0,0.19,1.66,0.32
500,Martin Olsson,se SWE,Swansea City,DF,Y,28,15,14,1,1252,84,2,0,0,0,12,2,0,4,0.14,0.14,0.14,0.14,0.29,0.86,0.14
501,Ki Sung-yueng,kr KOR,Swansea City,MF,Y,27,23,13,10,1291,56,0,1,0,0,18,3,0,1,0,0.07,0,0.07,0.07,1.25,0.21
502,Modou Barrow,gm GAM,Swansea City,FW,N,23,18,12,6,1145,64,0,2,0,0,13,1,0,3,0,0.16,0,0.16,0.24,1.02,0.08
503,Stephen Kingsley,sco SCO,Swansea City,DF,Y,22,13,12,1,1036,80,0,1,0,0,3,0,0,1,0,0.09,0,0.09,0.09,0.26,0
504,Neil Taylor,wal WAL,Swansea City,DF,Y,27,11,11,0,920,84,0,0,0,0,13,1,0,0,0,0,0,0,0,1.27,0.1
505,Jordan Ayew,gh GHA,Swansea City,FW,Y,24,14,9,5,866,62,1,2,0,0,18,1,0,6,0.1,0.31,0.1,0.31,0.62,1.87,0.1
506,Jay Fulton,sco SCO,Swansea City,MF,Y,22,11,9,2,690,63,0,0,0,0,10,2,0,0,0,0,0,0,0,1.3,0.26
507,Angel Rangel,es ESP,Swansea City,DF,Y,33,18,8,10,831,46,1,0,0,0,10,1,0,3,0.11,0.11,0.11,0.11,0.32,1.08,0.11
508,Mike van der Hoorn,nl NED,Swansea City,DF,Y,23,8,7,1,662,83,1,0,0,0,13,1,0,2,0.14,0.14,0.14,0.14,0.27,1.77,0.14
509,Borja Bastan,es ESP,Swansea City,FW,N,23,18,4,14,561,31,1,0,0,0,4,0,0,4,0.16,0.16,0.16,0.16,0.64,0.64,0
510,Luciano Narsingh,nl NED,Swansea City,MF,Y,25,13,3,10,416,32,0,2,0,0,3,0,0,0,0,0.43,0,0.43,0,0.65,0
511,Nathan Dyer,eng ENG,Swansea City,MF,Y,28,8,3,5,214,27,0,1,0,0,4,0,0,1,0,0.42,0,0.42,0.42,1.68,0
512,Jefferson Montero,ec ECU,Swansea City,MF,F,26,13,2,11,489,38,0,1,0,0,1,0,0,1,0,0.18,0,0.18,0.18,0.18,0
513,Oliver McBurnie,sco SCO,Swansea City,FW,F,20,5,0,5,82,16,0,0,0,0,1,0,0,1,0,0,0,0,1.1,1.1,0
514,Andre Ayew,gh GHA,Swansea City,MF,S,26,25,16,9,1438,58,6,3,0,0,13,1,0,13,0.38,0.56,0.38,0.56,0.81,0.81,0.06
515,Andy King,wal WAL,Swansea City,MF,S,27,23,15,8,1446,63,1,0,0,0,18,4,0,7,0.06,0.06,0.06,0.06,0.44,1.12,0.25
516,Wilfried Bony,ci CIV,Swansea City,FW,Y,27,10,9,1,684,68,2,0,0,0,11,1,0,5,0.26,0.26,0.26,0.26,0.66,1.45,0.13
517,Tammy Abraham,eng ENG,Swansea City,FW,Y,18,41,40,1,3414,83,23,3,2,2,45,3,0,40,0.61,0.69,0.55,0.63,1.05,1.19,0.08
518,Roque Mesa,es ESP,Swansea City,MF,F,27,35,34,1,3030,87,1,2,0,0,57,14,0,8,0.03,0.09,0.03,0.09,0.24,1.69,0.42
519,Renato Sanches,pt POR,Swansea City,MF,Y,18,17,6,11,621,37,0,0,0,0,14,3,0,3,0,0,0,0,0.43,2.03,0.43
520,Ettienne Capoue,fr FRA,Watford,MF,Y,28,37,37,0,3203,87,7,1,0,0,52,5,0,19,0.2,0.22,0.2,0.22,0.53,1.46,0.14
521,Jose Holebas,gr GRE,Watford,DF,Y,32,33,33,0,2905,88,2,4,0,0,43,14,0,7,0.06,0.19,0.06,0.19,0.22,1.33,0.43
522,Sebastian Prodl,at AUT,Watford,DF,Y,29,33,32,1,2769,84,1,1,0,0,40,11,1,7,0.03,0.07,0.03,0.07,0.23,1.3,0.39
523,Troy Deeney,eng ENG,Watford,FW,Y,28,37,31,6,2944,80,10,4,3,3,42,7,0,18,0.31,0.43,0.21,0.34,0.55,1.28,0.21
524,Miguel Britos,uy URU,Watford,DF,Y,31,27,27,0,2282,85,1,2,0,0,36,8,2,5,0.04,0.12,0.04,0.12,0.2,1.42,0.39
525,Valon Behrami,ch SUI,Watford,"MF,DF",N,31,27,26,1,2030,75,0,2,0,0,29,7,0,0,0,0.09,0,0.09,0,1.29,0.31
526,Nordin Amrabat,ma MAR,Watford,"MF,FW",N,29,29,25,4,2091,72,0,3,0,0,47,4,0,6,0,0.13,0,0.13,0.26,2.02,0.17
527,Younous Kaboul,fr FRA,Watford,DF,Y,30,22,22,0,1820,83,2,0,0,0,20,2,0,4,0.1,0.1,0.1,0.1,0.2,0.99,0.1
528,Daryl Janmaat,nl NED,Watford,DF,Y,27,27,18,9,1617,60,2,1,0,0,16,2,0,8,0.11,0.17,0.11,0.17,0.45,0.89,0.11
529,Tom Cleverley,eng ENG,Watford,MF,Y,26,17,16,1,1441,85,0,2,0,0,16,3,0,3,0,0.12,0,0.12,0.19,1,0.19
530,M'Baye Niang,sn SEN,Watford,"MF,FW",N,21,16,15,1,1246,78,2,2,0,0,24,2,0,13,0.14,0.29,0.14,0.29,0.94,1.73,0.14
531,Abdoulaye Doucoure,fr FRA,Watford,MF,Y,23,20,14,6,1361,68,1,0,0,0,12,4,0,9,0.07,0.07,0.07,0.07,0.6,0.79,0.26
532,Odion Ighalo,ng NGA,Watford,FW,N,27,18,14,4,1291,72,1,0,0,0,18,1,0,10,0.07,0.07,0.07,0.07,0.7,1.25,0.07
533,Craig Cathcart,nir NIR,Watford,DF,Y,27,15,13,2,1162,78,0,1,0,0,13,3,0,1,0,0.08,0,0.08,0.08,1.01,0.23
534,Roberto Pereyra,ar ARG,Watford,MF,Y,25,13,12,1,1037,80,2,2,0,0,8,2,1,4,0.17,0.35,0.17,0.35,0.35,0.69,0.26
535,Stefano Okaka,it ITA,Watford,FW,Y,26,19,10,9,958,50,4,1,0,0,29,5,0,12,0.38,0.47,0.38,0.47,1.13,2.72,0.47
536,Adlriene Guedioura,dz ALG,Watford,MF,Y,30,12,9,3,721,60,0,0,0,0,21,2,0,3,0,0,0,0,0.37,2.62,0.25
537,Christian Kabasele,be BEL,Watford,DF,Y,25,16,7,9,771,48,2,0,0,0,15,1,0,2,0.23,0.23,0.23,0.23,0.23,1.75,0.12
538,Juan Zaniaga,co COL,Watford,DF,Y,30,21,6,15,825,39,1,0,0,0,5,1,0,1,0.11,0.11,0.11,0.11,0.11,0.55,0.11
539,Adrian Mariappa,jm JAM,Watford,DF,Y,29,7,6,1,562,80,0,0,0,0,4,0,0,0,0,0,0,0,0,0.64,0
540,Mauro Zarate,ar ARG,Watford,FW,N,29,3,3,0,203,68,0,0,0,0,1,0,0,3,0,0,0,0,1.33,0.44,0
541,Isaac Success,ng NGA,Watford,FW,F,20,19,2,17,519,27,1,1,0,0,12,2,0,8,0.17,0.35,0.17,0.35,1.39,2.08,0.35
542,Jerome Sinclair,eng ENG,Watford,FW,Y,19,5,1,4,116,23,0,0,0,0,4,0,0,0,0,0,0,0,0,3.1,0
543,Brandon Mason,eng ENG,Watford,DF,Y,18,2,1,1,113,57,0,0,0,0,3,0,0,0,0,0,0,0,0,2.39,0
544,Ben Watson,eng ENG,Watford,MF,N,31,4,0,4,54,14,0,0,0,0,2,0,1,0,0,0,0,0,0,3.33,1.67
545,Andrew Eleftheriou,eng ENG,Watford,DF,Y,18,1,0,1,52,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
546,Dion Pereira,eng ENG,Watford,MF,Y,17,2,0,2,25,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
547,Kenedy,br BRA,Watford,"MF,FW",N,20,1,0,1,16,16,0,0,0,0,1,0,0,0,0,0,0,0,0,5.63,0
548,Michael Folivi,eng ENG,Watford,FW,Y,18,1,0,1,10,10,0,0,0,0,1,0,0,0,0,0,0,0,0,9,0
549,Ikechi Anya,sco SCO,Watford,"MF,FW",Y,28,1,0,1,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
550,Matais Vydra,cz CZE,Watford,FW,N,24,1,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
551,Nathaniel Chalobah,eng ENG,Watford,"MF,DF",Y,21,10,1,9,167,17,0,0,0,0,2,2,0,1,0,0,0,0,0.54,1.08,1.08
552,Richarlison,br BRA,Watford,"MF,FW",Y,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
553,Will Hughes,eng ENG,Watford,MF,Y,21,38,28,10,2658,70,2,3,0,0,65,10,0,6,0.07,0.17,0.07,0.17,0.2,2.2,0.34
554,Gerard Deulofeu,es ESP,Watford,MF,S,22,17,16,1,1459,86,4,3,0,0,17,4,0,16,0.25,0.43,0.25,0.43,0.99,1.05,0.25
555,Marvin Zeegelaar,nl NED,Watford,DF,Y,25,20,18,2,1512,76,0,2,0,0,51,6,0,0,0,0.12,0,0.12,0,3.04,0.36
556,Didier Ibrahim Ndong,ga GAB,Watford,MF,Y,22,31,27,4,2520,81,1,0,0,0,39,5,0,5,0.04,0.04,0.04,0.04,0.18,1.39,0.18
557,Andre Carrillo,pe PER,Watford,FW,Y,25,20,3,17,537,27,2,1,0,0,12,5,0,3,0.34,0.5,0.34,0.5,0.5,2.01,0.84
558,Molla Wague,ml MLI,Watford,DF,Y,25,6,6,0,540,90,0,0,0,0,6,2,0,0,0,0,0,0,0,1,0.33
559,Andre Gray,eng ENG,Watford,FW,Y,25,32,26,6,2259,71,9,3,2,2,17,2,0,19,0.36,0.48,0.28,0.4,0.76,0.68,0.08
560,Craig Dawson,eng ENG,West Bromwich Albion,DF,Y,26,37,37,0,3276,89,4,0,0,0,55,10,0,8,0.11,0.11,0.11,0.11,0.22,1.51,0.27
561,Darren Fletcher,sco SCO,West Bromwich Albion,MF,N,32,38,37,1,3231,85,2,3,0,0,22,0,0,7,0.06,0.14,0.06,0.14,0.19,0.61,0
562,Gareth McAuley,nir NIR,West Bromwich Albion,DF,Y,36,36,36,0,3140,87,6,1,0,0,26,5,0,7,0.17,0.2,0.17,0.2,0.2,0.75,0.14
563,Salomon Rondon,ve VEN,West Bromwich Albion,FW,Y,26,38,32,6,2891,76,8,2,0,0,41,2,0,26,0.25,0.31,0.25,0.31,0.81,1.28,0.06
564,Jonny Evans,nir NIR,West Bromwich Albion,DF,Y,28,31,30,1,2637,85,2,2,0,0,30,8,0,5,0.07,0.14,0.07,0.14,0.17,1.02,0.27
565,Allan Nyom,cm CMR,West Bromwich Albion,DF,Y,28,32,29,3,2638,82,0,1,0,0,50,8,0,1,0,0.03,0,0.03,0.03,1.71,0.27
566,Chris Brunt,nir NIR,West Bromwich Albion,MF,Y,31,31,27,4,2477,80,3,4,0,0,17,5,0,11,0.11,0.25,0.11,0.25,0.4,0.62,0.18
567,Claudio Yacob,ar ARG,West Bromwich Albion,MF,Y,29,33,27,6,2418,73,0,0,0,0,39,9,0,0,0,0,0,0,0,1.45,0.33
568,Nacer Chadli,be BEL,West Bromwich Albion,MF,Y,26,31,27,4,2134,69,5,4,1,1,17,2,0,18,0.21,0.38,0.17,0.34,0.76,0.72,0.08
569,Matt Phillips,sco SCO,West Bromwich Albion,MF,Y,25,27,26,1,2181,81,4,8,0,0,12,2,0,10,0.17,0.5,0.17,0.5,0.41,0.5,0.08
570,James Morrison,sco SCO,West Bromwich Albion,MF,Y,30,31,17,14,1740,56,5,2,0,0,18,3,0,8,0.26,0.36,0.26,0.36,0.41,0.93,0.16
571,Jake Livermore,eng ENG,West Bromwich Albion,MF,Y,26,16,15,1,1301,81,0,0,0,0,17,2,0,0,0,0,0,0,0,1.18,0.14
572,James McClean,ie IRL,West Bromwich Albion,MF,Y,27,34,13,21,1477,43,1,2,0,0,30,9,0,13,0.06,0.18,0.06,0.18,0.79,1.83,0.55
573,Jonas Olsson,se SWE,West Bromwich Albion,DF,Y,26,7,7,0,590,84,0,0,0,0,12,3,0,0,0,0,0,0,0,1.83,0.46
574,Hal Robson-Kanu,wal WAL,West Bromwich Albion,FW,Y,27,29,5,24,701,24,3,2,0,0,28,3,0,6,0.39,0.64,0.39,0.64,0.77,3.59,0.39
575,Sam Field,eng ENG,West Bromwich Albion,MF,Y,18,8,4,4,275,34,0,0,0,0,5,2,0,0,0,0,0,0,0,1.64,0.65
576,Marc Wilson,ie IRL,West Bromwich Albion,DF,N,28,4,3,1,254,64,0,0,0,0,5,3,0,0,0,0,0,0,0,1.77,1.06
577,Brendan Galloway,eng ENG,West Bromwich Albion,DF,N,20,3,3,0,247,82,0,0,0,0,6,0,0,0,0,0,0,0,0,2.19,0
578,Saido Berahino,eng ENG,West Bromwich Albion,FW,N,22,4,3,1,243,61,0,0,0,0,9,1,0,2,0,0,0,0,0.74,3.33,0.37
579,Craig Gardner,eng ENG,West Bromwich Albion,MF,N,29,9,2,7,218,24,0,1,0,0,8,1,0,2,0,0.41,0,0.41,0.83,3.3,0.41
580,Jonathan Leko,eng ENG,West Bromwich Albion,FW,N,17,9,0,9,181,20,0,1,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0
581,Rickie Lambert,eng ENG,West Bromwich Albion,FW,N,34,1,0,1,13,13,0,0,0,0,1,0,0,0,0,0,0,0,0,6.92,0
582,Kieran Gibbs,eng ENG,West Bromwich Albion,DF,Y,26,11,8,3,702,64,0,1,0,0,11,3,0,1,0,0.13,0,0.13,0.13,1.41,0.38
583,Gareth Barry,eng ENG,West Bromwich Albion,MF,Y,35,33,23,10,2108,64,2,1,0,0,47,10,0,7,0.09,0.13,0.09,0.13,0.3,2.01,0.43
584,Jay Rodriguez,eng ENG,West Bromwich Albion,FW,Y,27,24,9,15,892,37,5,2,0,0,15,0,0,16,0.5,0.71,0.5,0.71,1.61,1.51,0
