Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
08/04/2018,Arsenal,Southampton,,,,,,,A Marriner,,,,,,,,,,,,
08/04/2018,Chelsea,West Ham,,,,,,,K Friend,,,,,,,,,,,,
14/04/2018,Burnley,Leicester,,,,,,,M Atkinson,,,,,,,,,,,,
14/04/2018,Crystal Palace,Brighton,,,,,,,A Marriner,,,,,,,,,,,,
14/04/2018,Huddersfield,Watford,,,,,,,C Pawson,,,,,,,,,,,,
14/04/2018,Liverpool,Bournemouth,,,,,,,C Kavanagh,,,,,,,,,,,,
14/04/2018,Southampton,Chelsea,,,,,,,M Dean,,,,,,,,,,,,
14/04/2018,Swansea,Everton,,,,,,,L Mason,,,,,,,,,,,,
14/04/2018,Tottenham,Man City,,,,,,,J Moss,,,,,,,,,,,,
15/04/2018,Man United,West Brom,,,,,,,P Tierney,,,,,,,,,,,,
15/04/2018,Newcastle,Arsenal,,,,,,,A Taylor,,,,,,,,,,,,
16/04/2018,West Ham,Stoke,,,,,,,M Oliver,,,,,,,,,,,,
17/04/2018,Brighton,Tottenham,,,,,,,K Friend,,,,,,,,,,,,
18/04/2018,Bournemouth,Man United,,,,,,,G Scott,,,,,,,,,,,,
19/04/2018,Burnley,Chelsea,,,,,,,R Madley,,,,,,,,,,,,
19/04/2018,Leicester,Southampton,,,,,,,R East,,,,,,,,,,,,
21/04/2018,Watford,Crystal Palace,,,,,,,C Kavanagh,,,,,,,,,,,,
21/04/2018,West Brom,Liverpool,,,,,,,S Attwell,,,,,,,,,,,,
22/04/2018,Arsenal,West Ham,,,,,,,L Mason,,,,,,,,,,,,
22/04/2018,Man City,Swansea,,,,,,,C Pawson,,,,,,,,,,,,
22/04/2018,Stoke,Burnley,,,,,,,M Dean,,,,,,,,,,,,
23/04/2018,Everton,Newcastle,,,,,,,R Madley,,,,,,,,,,,,
28/04/2018,Burnley,Brighton,,,,,,,R East,,,,,,,,,,,,
28/04/2018,Crystal Palace,Leicester,,,,,,,M Dean,,,,,,,,,,,,
28/04/2018,Huddersfield,Everton,,,,,,,L Probert,,,,,,,,,,,,
28/04/2018,Liverpool,Stoke,,,,,,,A Marriner,,,,,,,,,,,,
28/04/2018,Newcastle,West Brom,,,,,,,D Coote,,,,,,,,,,,,
28/04/2018,Southampton,Bournemouth,,,,,,,A Taylor,,,,,,,,,,,,
28/04/2018,Swansea,Chelsea,,,,,,,J Moss,,,,,,,,,,,,
29/04/2018,Man United,Arsenal,,,,,,,K Friend,,,,,,,,,,,,
29/04/2018,West Ham,Man City,,,,,,,N Swarbrick,,,,,,,,,,,,
30/04/2018,Tottenham,Watford,,,,,,,M Oliver,,,,,,,,,,,,
04/05/2018,Brighton,Man United,,,,,,,C Pawson,,,,,,,,,,,,
05/05/2018,Bournemouth,Swansea,,,,,,,K Friend,,,,,,,,,,,,
05/05/2018,Everton,Southampton,,,,,,,J Moss,,,,,,,,,,,,
05/05/2018,Leicester,West Ham,,,,,,,C Kavanagh,,,,,,,,,,,,
05/05/2018,Stoke,Crystal Palace,,,,,,,M Atkinson,,,,,,,,,,,,
05/05/2018,Watford,Newcastle,,,,,,,R East,,,,,,,,,,,,
05/05/2018,West Brom,Tottenham,,,,,,,M Jones,,,,,,,,,,,,
06/05/2018,Arsenal,Burnley,,,,,,,A Marriner,,,,,,,,,,,,
06/05/2018,Chelsea,Liverpool,,,,,,,A Taylor,,,,,,,,,,,,
06/05/2018,Man City,Huddersfield,,,,,,,M Dean,,,,,,,,,,,,
08/05/2018,Swansea,Southampton,,,,,,,M Oliver,,,,,,,,,,,,
09/05/2018,Chelsea,Huddersfield,,,,,,,L Mason,,,,,,,,,,,,
09/05/2018,Leicester,Arsenal,,,,,,,G Scott,,,,,,,,,,,,
09/05/2018,Man City,Brighton,,,,,,,P Tierney,,,,,,,,,,,,
09/05/2018,Tottenham,Newcastle,,,,,,,N Swarbrick,,,,,,,,,,,,
10/05/2018,West Ham,Man United,,,,,,,J Moss,,,,,,,,,,,,
13/05/2018,Burnley,Bournemouth,,,,,,,P Tierney,,,,,,,,,,,,
13/05/2018,Crystal Palace,West Brom,,,,,,,J Moss,,,,,,,,,,,,
13/05/2018,Huddersfield,Arsenal,,,,,,,M Oliver,,,,,,,,,,,,
13/05/2018,Liverpool,Brighton,,,,,,,K Friend,,,,,,,,,,,,
13/05/2018,Man United,Watford,,,,,,,L Mason,,,,,,,,,,,,
13/05/2018,Newcastle,Chelsea,,,,,,,M Atkinson,,,,,,,,,,,,
13/05/2018,Southampton,Man City,,,,,,,A Marriner,,,,,,,,,,,,
13/05/2018,Swansea,Stoke,,,,,,,A Taylor,,,,,,,,,,,,
13/05/2018,Tottenham,Leicester,,,,,,,C Pawson,,,,,,,,,,,,
13/05/2018,West Ham,Everton,,,,,,,G Scott,,,,,,,,,,,,
